API Well Number,Leak [Yes/No],Violation [Yes/No],Incident [Yes/No],Compliance [Yes/No],Oil [bbl/Year],Gas [Mcf/Year],Age [Years],Depth [ft],Elevation Delta [m],Distance to Road [miles],Operator Name,Latitude,Longitude,Well Type,Priority Score [0-100],Emissions Score [0-35],Leak,Leak [Yes/No] Score,Compliance,Compliance [Yes/No] Score,Violation,Violation [Yes/No] Score,Incident,Incident [Yes/No] Score,Sensitive Receptors Score [0-20],Schools Within Distance,School Score [0-10],Hospitals Within Distance,Hospital Score [0-10],Production Volumes Score [0-20],One-year Production [BOE],One-year Production Score [0-20],Well Age Score [0-15],Owner Well-Count,Owner Well-Count Score [0-10],cluster,Well ID
44388,No,Yes,Yes,No,0.0,0.0,139,11323,6,0.3744428595,Owner 137,1.1345749999999981,2.2225640000000055,Oil,77.029353021093,21.0,0,0.0,1,100.0,1,100.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,20.0,0.0,20.0,13.89261744966443,6,6.065307,Cluster 100,44388
22370,No,Yes,Yes,No,5.01,22.39,144,4565,-10,0.9478244115,Owner 194,1.146374999999999,2.224765000000005,Oil,73.70969806234687,21.0,0,0.0,1,100.0,1,100.0,1,100.0,11.071428571428571,6,8.571428571428571,1,2.5,19.83411433655588,8.997829550297858,19.83411433655588,14.395973154362416,4,7.408182,Cluster 100,22370
55133,No,No,Yes,No,4.83,0.76,128,9581,-2,0.5981309831,Owner 97,1.8935200000000023,3.327770000000001,Oil,71.81349513490602,14.0,0,0.0,1,100.0,0,0.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,19.908457664148603,4.9653617891123885,19.908457664148603,12.78523489932886,2,9.048374,Cluster 62,55133
21133,No,Yes,Yes,No,4.4,0.0,148,4199,-7,0.950588216,Owner 53,1.0649700000000024,1.819810000000004,Oil,71.69714906906692,21.0,0,0.0,1,100.0,1,100.0,1,100.0,8.571428571428571,6,8.571428571428571,0,0.0,19.918880779517547,4.4,19.918880779517547,14.798657718120806,4,7.408182,Cluster 58,21133
36524,No,No,Yes,No,11.83,30.7,112,415,2,0.0276571914,Owner 238,1.1046320000000023,1.9943800000000067,Oil,70.9270178347544,14.0,0,0.0,1,100.0,0,0.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,19.68109261903052,17.29790384967147,19.68109261903052,11.174496644295303,1,10.0,Cluster 55,36524
62214,No,No,Yes,No,4.56,0.4,136,2192,195,0.1258663464,Owner 117,1.1449830000000034,2.2210989999999953,Oil,70.27985013785843,14.0,0,0.0,1,100.0,0,0.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,19.914617539584228,4.631243046901257,19.914617539584228,13.590604026845638,5,6.7032,Cluster 100,62214
38073,No,No,Yes,No,29.59,35.35,106,3429,10,0.8990769826,Owner 154,1.9134519999999995,3.353566999999998,Oil,68.16760345996671,14.0,0,0.0,1,100.0,0,0.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,19.33839708988043,35.88610426989858,19.33839708988043,10.570469798657719,3,8.187308,Cluster 72,38073
74642,No,No,Yes,No,46.72,0.0,142,1476,7,0.9707488995,Owner 189,1.9186499999999995,2.228469000000004,Oil,67.45309481187996,14.0,0,0.0,1,100.0,0,0.0,1,100.0,11.071428571428571,6,8.571428571428571,1,2.5,19.138661367968165,46.72,19.138661367968165,14.194630872483222,2,9.048374,Cluster 63,74642
57746,No,No,Yes,No,0.74,0.0,100,7960,-236,0.050275887,Owner 33,1.9050200000000004,3.354159999999993,Oil,67.43241074645847,14.0,0,0.0,1,100.0,0,0.0,1,100.0,16.07142857142857,6,8.571428571428571,3,7.5,19.98635722200977,0.74,19.98635722200977,9.966442953020135,4,7.408182,Cluster 72,57746
27084,No,No,Yes,No,17.14,0.0,139,3898,-157,0.0013882713,Owner 104,1.074142000000002,1.7808380000000028,Oil,66.83535778494091,14.0,0,0.0,1,100.0,0,0.0,1,100.0,11.071428571428571,6,8.571428571428571,1,2.5,19.684003763847908,17.14,19.684003763847908,13.89261744966443,3,8.187308,Cluster 87,27084
